Year,m,d,Time,Time zone,Precipitation amount (mm),Snow depth (cm),Air temperature (degC),Maximum temperature (degC),Minimum temperature (degC)
1960,10,29,00:00,UTC,2.1,-1,2.6,4.4,-0.3
1960,10,30,00:00,UTC,0.2,-1,2.2,5.9,-1.4
1960,10,31,00:00,UTC,-1,-1,-1.4,2,-3.3
1960,11,1,00:00,UTC,-1,-1,-2.9,-0.5,-6.5
1960,11,2,00:00,UTC,20.9,-1,0.8,1.2,-3.6
1960,11,3,00:00,UTC,2.3,-1,5.3,7.4,-0.8
1960,11,4,00:00,UTC,4.5,-1,7.2,8.2,6
1960,11,5,00:00,UTC,0.1,-1,7.6,8,7.1
1960,11,6,00:00,UTC,5.1,-1,7.5,8.7,7.2
1960,11,7,00:00,UTC,0.2,-1,4.7,7.8,1.6
1960,11,8,00:00,UTC,8.4,-1,2.7,2.8,1
1960,11,9,00:00,UTC,11.3,-1,4.9,6.8,2.4
1960,11,10,00:00,UTC,13.8,-1,3.9,6.2,1.9
1960,11,11,00:00,UTC,-1,-1,2.8,4.9,1.7
1960,11,12,00:00,UTC,0.1,-1,1.7,3.6,0
1960,11,13,00:00,UTC,0,-1,0.8,3,-0.9
1960,11,14,00:00,UTC,5.4,-1,1.2,1.4,0.1
1960,11,15,00:00,UTC,5.6,2,1,2.2,0.5
1960,11,16,00:00,UTC,7,5,0.1,0.8,-0.6
1960,11,17,00:00,UTC,0,8,-1.2,0.5,-1.5
1960,11,18,00:00,UTC,0.1,8,-3,-0.9,-3.7
1960,11,19,00:00,UTC,6.4,8,-4.5,-3.2,-6.7
1960,11,20,00:00,UTC,7.1,15,-5.9,-3.4,-7.5
1960,11,21,00:00,UTC,0.1,19,-6.1,-5.3,-7.8
1960,11,22,00:00,UTC,1,18,-4.4,-3,-9.8
1960,11,23,00:00,UTC,0.2,19,-0.8,1.6,-4.3
1960,11,24,00:00,UTC,4,14,0.8,1.2,-1
1960,11,25,00:00,UTC,7.7,15,2.4,3.5,0.3
1960,11,26,00:00,UTC,3.5,7,2.8,4.1,-0.9
1960,11,27,00:00,UTC,0.6,2,2.8,3.4,1
1960,11,28,00:00,UTC,8.2,-1,2.1,3.6,1.1
1960,11,29,00:00,UTC,0.9,3,-1.4,1.8,-3.2
1960,11,30,00:00,UTC,0.2,3,-4.8,-2.8,-6.2
1960,12,1,00:00,UTC,4.4,3,1.6,3.3,-6.5
1960,12,2,00:00,UTC,1.4,-1,4.8,5.8,3.1
1960,12,3,00:00,UTC,2.8,-1,4.7,6.1,4.2
1960,12,4,00:00,UTC,1.8,-1,4,5.2,3
1960,12,5,00:00,UTC,8.1,-1,3.3,4.7,2.4
1960,12,6,00:00,UTC,-1,-1,1.6,4.5,0.9
1960,12,7,00:00,UTC,0,-1,-1.4,1.3,-3
1960,12,8,00:00,UTC,13.3,-1,-3,-2.5,-4.3
1960,12,9,00:00,UTC,0.3,10,-3.4,-0.3,-4.4
1960,12,10,00:00,UTC,0.9,10,-4.4,-3.7,-5
1960,12,11,00:00,UTC,16.1,10,-1.3,0.8,-5.8
1960,12,12,00:00,UTC,3.3,8,1.2,2,0.6
1960,12,13,00:00,UTC,1.8,4,1.9,3.4,0.9
1960,12,14,00:00,UTC,0.4,-1,1.1,2.5,0.6
1960,12,15,00:00,UTC,0.5,1,0.4,0.9,-0.5
1960,12,16,00:00,UTC,2.1,2,1.3,1.5,-0.4
1960,12,17,00:00,UTC,2,-1,3.2,3.8,1.2
1960,12,18,00:00,UTC,-1,-1,2.9,4.8,1.3
1960,12,19,00:00,UTC,1.8,-1,1.8,2.7,0.7
1960,12,20,00:00,UTC,0.5,-1,1.7,2.4,1.1
1960,12,21,00:00,UTC,0,-1,0.3,1.8,-0.9
1960,12,22,00:00,UTC,6.2,-1,-1.4,-0.4,-3.6
1960,12,23,00:00,UTC,4.9,4,1.3,3.3,-2.8
1960,12,24,00:00,UTC,1.1,-1,2.3,3.3,0.6
1960,12,25,00:00,UTC,0.5,-1,3.1,4.2,2.3
1960,12,26,00:00,UTC,-1,-1,1.5,3.8,0.6
1960,12,27,00:00,UTC,0.4,-1,0.7,1.5,-0.4
1960,12,28,00:00,UTC,0,-1,0.9,1.5,0.1
1960,12,29,00:00,UTC,-1,-1,-0.1,1.6,-1.3
1960,12,30,00:00,UTC,-1,-1,-0.8,0,-1.6
